timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 05:19:58,00:19:58,"Bitcoin Up or Down - March 6, 12:15AM-12:20AM ET",buy,Up,0.72,1.0,7.78,resolved-win,177.0,51.2,61.6,4629.0,245.0,1559.0,2.97,0.04,72,70599.99,70630.0,70605.54,5.55,0.0154,0.05,True,Down,sl,False,0.99,0.36
2026-03-06 05:23:55,00:23:55,"Bitcoin Up or Down - March 6, 12:20AM-12:25AM ET",buy,Down,0.78,0.96,4.62,tp,106.0,61.5,185.4,3773.0,30.0,718.0,5.25,0.03,65,70589.56,70524.01,70466.53,123.03,0.0141,0.03,True,Up,resolved-win,False,0.59,0.96
2026-03-06 05:29:55,00:29:55,"Bitcoin Up or Down - March 6, 12:25AM-12:30AM ET",buy,Down,0.7,0.0,-20.0,resolved-loss,139.0,61.5,154.3,6420.0,23.0,1759.0,3.65,0.01,70,70421.22,70352.7,70413.93,7.29,0.0178,0.1,True,Down,tp,False,0.53,0.72
2026-03-06 05:34:43,00:34:43,"Bitcoin Up or Down - March 6, 12:30AM-12:35AM ET",buy,Up,0.7,0.14,-16.0,sl,150.0,102.8,144.0,3592.0,9.0,1923.0,1.87,0.02,61,70380.05,70480.58,70389.92,9.87,0.0145,0.03,True,Down,resolved-loss,True,0.8,0.85
2026-03-06 05:39:42,00:39:42,"Bitcoin Up or Down - March 6, 12:35AM-12:40AM ET",buy,Up,0.7,0.22,-13.71,sl,162.0,102.8,133.7,7505.0,125.0,1807.0,4.15,0.01,70,70330.26,70376.7,70272.93,57.33,0.0114,0.02,False,Up,sl,True,0.91,0.77
2026-03-06 05:43:49,00:43:49,"Bitcoin Up or Down - March 6, 12:40AM-12:45AM ET",buy,Down,0.8,0.96,4.0,tp,153.0,71.9,82.2,9883.0,2405.0,1329.0,7.44,0.01,80,70312.3,70173.99,70185.46,126.84,0.0159,0.04,False,Up,sl,False,0.45,0.96
2026-03-06 05:50:10,00:50:10,"Bitcoin Up or Down - March 6, 12:45AM-12:50AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70201.81,0.0,70156.91,44.9,0.0121,0.03,False,Down,tp,True,0.65,0.99
2026-03-06 05:54:07,00:54:07,"Bitcoin Up or Down - March 6, 12:50AM-12:55AM ET",buy,Up,0.76,0.98,5.79,tp,166.0,61.7,123.5,9346.0,1041.0,1197.0,7.81,0.01,76,70156.91,70214.18,70337.25,180.34,0.0147,0.04,True,Down,tp,False,0.98,0.44
2026-03-06 06:00:07,01:00:07,"Bitcoin Up or Down - March 6, 12:55AM-1:00AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70367.02,0.0,70421.26,54.24,0.0133,0.04,False,Up,tp,True,0.99,0.7
2026-03-06 06:04:56,01:04:56,"Bitcoin Up or Down - March 6, 1:00AM-1:05AM ET",buy,Down,0.72,1.0,7.78,resolved-win,86.0,102.8,206.0,4649.0,84.0,1064.0,4.37,0.04,72,70421.26,70410.59,70432.17,10.91,0.0126,0.04,True,Up,tp,False,0.47,0.93
